                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1296,                 9.1187,                 2.8444,                0.00865,                   0.25,                0.15186,                0.13284,                 1.7818,                 9.9848,                  2.049,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                 2.1989,                 7.6511,                 2.0952,                 0.0043,                   0.25,                0.20211,                0.17118,                 1.7718,                 9.5777,                 1.9125,             0.00015928,             0.00015928,             0.00015928
                      3,                 2.0711,                 5.7944,                  2.117,                0.00436,                   0.25,                0.20085,                0.17946,                 1.6675,                 9.4257,                 1.9413,              0.0002401,              0.0002401,              0.0002401
                      4,                  2.037,                 4.6867,                   2.05,                0.00497,                   0.25,                0.21396,                0.16864,                 1.9438,                 9.4656,                 1.9596,             0.00031745,             0.00031745,             0.00031745
                      5,                 1.9833,                 4.2477,                 2.0122,                0.00706,                   0.25,                0.19963,                0.16578,                 1.6013,                 9.6062,                 1.9847,             0.00039134,             0.00039134,             0.00039134
                      6,                 1.9108,                 4.0007,                 2.0071,                0.00769,                   0.25,                0.23208,                0.19985,                 1.7416,                 9.4139,                 1.9665,             0.00046176,             0.00046176,             0.00046176
                      7,                 1.9019,                 3.9337,                 1.9425,                0.01046,                   0.25,                0.21502,                0.18181,                 1.7392,                 9.3222,                 2.0378,             0.00052872,             0.00052872,             0.00052872
                      8,                 1.8588,                 3.6797,                 1.9443,                0.00936,                   0.25,                0.23587,                0.20161,                 1.7771,                 9.0233,                 2.0564,             0.00059221,             0.00059221,             0.00059221
                      9,                 1.8433,                  3.383,                  1.948,                0.00514,                   0.25,                 0.2442,                0.21126,                 1.8468,                 8.4742,                 2.0876,             0.00065224,             0.00065224,             0.00065224
                     10,                 1.8398,                 3.3244,                 1.9357,                0.00476,                   0.25,                0.24298,                0.21201,                 1.8311,                 8.2797,                 2.1135,              0.0007088,              0.0007088,              0.0007088
                     11,                 1.8079,                 3.2698,                 1.9203,                0.00447,                   0.25,                0.23208,                0.20323,                  1.873,                 7.9186,                  2.128,              0.0007619,              0.0007619,              0.0007619
